"Q5" "Mode" "Mean" "Q95" "Row" "Country" "Unit"
"1" 3.94603308996799e-06 5.69004837613279e-06 1.15258744002509e-05 3.67458623967848e-05 "Surfacewater" "Austria" "mg/L"
"2" 0.013849058440753 0.0199698813200814 0.0404513861162653 0.128963843988716 "Sediment" "Austria" "mg/kg"
"3" 0.00567118345674217 0.0106462660457013 0.0108137573136934 0.0159596610918537 "STSoil" "Austria" "mg/kg"
"4" 5.6177278962727e-05 7.72441718055791e-05 0.000126040715185557 0.000337469797953552 "Surfacewater" "Belgium" "mg/L"
"5" 0.197160642513417 0.271097333740734 0.442354433103157 1.18438919474083 "Sediment" "Belgium" "mg/kg"
"6" 0.0164429803866339 0.0332236389890698 0.0343923593281568 0.0560011383041997 "STSoil" "Belgium" "mg/kg"
"7" 3.10577374289236e-06 4.38867508118851e-06 5.42022428540408e-06 1.0372830308489e-05 "Surfacewater" "Bulgaria" "mg/L"
"8" 0.0109000713091895 0.0154025615830174 0.0190229025401201 0.0364046448326776 "Sediment" "Bulgaria" "mg/kg"
"9" 0.0106655610657223 0.0201692489066203 0.0195687542179362 0.027390789560231 "STSoil" "Bulgaria" "mg/kg"
"10" 9.41031018552845e-06 1.31582075299816e-05 1.73177165959985e-05 3.55979104699345e-05 "Surfacewater" "Croatia" "mg/L"
"11" 0.0330265694011335 0.0461802475811855 0.0607785245917255 0.124934974245443 "Sediment" "Croatia" "mg/kg"
"12" 0.178037847587143 0.342529955259922 0.361203077984893 0.566859779038084 "STSoil" "Croatia" "mg/kg"
"13" 7.33072547039852e-05 0.000101163482840305 0.000113207832966344 0.000166942202032629 "Surfacewater" "Cyprus" "mg/L"
"14" 0.257280268913025 0.355044915737611 0.397315952237651 0.585902920595283 "Sediment" "Cyprus" "mg/kg"
"15" 0.00815465357760117 0.0155407089644427 0.0160726572591203 0.0244768437154782 "STSoil" "Cyprus" "mg/kg"
"16" 4.51951427724748e-06 6.36059206116817e-06 1.22000740385353e-05 3.76458193488747e-05 "Surfacewater" "Czechia" "mg/L"
"17" 0.0158617568384166 0.0223232317531383 0.0428175675390904 0.132122346753262 "Sediment" "Czechia" "mg/kg"
"18" 0.00592646360086068 0.0110862522489443 0.0106643879822948 0.0144444373061114 "STSoil" "Czechia" "mg/kg"
"19" 9.0124029106707e-07 1.2897596844988e-06 2.16095681428572e-06 5.91291442773701e-06 "Surfacewater" "Denmark" "mg/L"
"20" 0.00316300679076423 0.00452656043117366 0.0075841272809066 0.0207520554435001 "Sediment" "Denmark" "mg/kg"
"21" 0.00319159753389186 0.00596484931373701 0.00585661259292472 0.00813551895973961 "STSoil" "Denmark" "mg/kg"
"22" 1.77624068044831e-07 2.47699802714244e-07 4.81866557921668e-07 1.50411306047953e-06 "Surfacewater" "Estonia" "mg/L"
"23" 0.00062339216188811 0.000869331038372106 0.00169116628501355 0.00527885833725989 "Sediment" "Estonia" "mg/kg"
"24" 0.00556077476886342 0.01064079701072 0.0101015938557056 0.013772639074227 "STSoil" "Estonia" "mg/kg"
"25" 3.93739419283104e-08 5.51257431262559e-08 1.12068186930801e-07 3.60890867564168e-07 "Surfacewater" "Finland" "mg/L"
"26" 0.000138187392344551 0.000193470156164263 0.000393316232978292 0.0012665881409704 "Sediment" "Finland" "mg/kg"
"27" 0.00325524458739416 0.00609776840702826 0.00584288830415432 0.0078521947513969 "STSoil" "Finland" "mg/kg"
"28" 1.32202871299885e-05 1.87937059369126e-05 3.48586581396913e-05 0.000106198410396824 "Surfacewater" "France" "mg/L"
"29" 0.0463981231004406 0.0659586794901258 0.122340482894109 0.372715574950393 "Sediment" "France" "mg/kg"
"30" 0.0126379363547212 0.0236231755842429 0.0230143224177498 0.0315839758732819 "STSoil" "France" "mg/kg"
"31" 7.20567253625019e-06 1.00773045016056e-05 2.60168386022163e-05 9.34148408966423e-05 "Surfacewater" "Germany" "mg/L"
"32" 0.0252891391897242 0.0353674629142889 0.0913090970173937 0.327850162762254 "Sediment" "Germany" "mg/kg"
"33" 0.0119649385833592 0.023159311071162 0.0234973150757221 0.0355317973419033 "STSoil" "Germany" "mg/kg"
"34" 9.07877706371789e-07 1.28032981944671e-06 3.26202379245898e-06 1.17968933834233e-05 "Surfacewater" "Greece" "mg/L"
"35" 0.00318630156563176 0.00449346523171202 0.0114484488869955 0.04140255850913 "Sediment" "Greece" "mg/kg"
"36" 0.0120024101547796 0.0230859287227023 0.0233407921449275 0.0348324871936514 "STSoil" "Greece" "mg/kg"
"37" 5.66378980051973e-06 8.01548765695649e-06 1.48005833015773e-05 4.46128059695504e-05 "Surfacewater" "Hungary" "mg/L"
"38" 0.0198777238191317 0.0281312787960492 0.0519443548564972 0.156573790181595 "Sediment" "Hungary" "mg/kg"
"39" 0.0109518517845554 0.0210334993055749 0.0200692369660444 0.0278881760593291 "STSoil" "Hungary" "mg/kg"
"40" 1.67985443214237e-06 2.32316333596201e-06 3.30301963205895e-06 7.57204091984823e-06 "Surfacewater" "Ireland" "mg/L"
"41" 0.00589564295896119 0.00815340978486666 0.0115923285163607 0.0265749513052366 "Sediment" "Ireland" "mg/kg"
"42" 0.00639658567656138 0.0121132436317192 0.0116920351621652 0.0162445675194809 "STSoil" "Ireland" "mg/kg"
"43" 2.99190620897388e-05 4.23144580810652e-05 4.86604525677057e-05 7.81357536796397e-05 "Surfacewater" "Italy" "mg/L"
"44" 0.10500440060341 0.148507473072969 0.170779472953967 0.274226443202582 "Sediment" "Italy" "mg/kg"
