"Q5" "Mode" "Mean" "Q95" "Row" "Country" "Unit"
"23" 0.00501049888755769 0.00661515599927585 0.0127784703053873 0.0392492080700657 "Sediment" "Estonia" "mg/kg"
"24" 0.0445107987208088 0.0813306275652664 0.0764232941783641 0.0948676645465088 "STSoil" "Estonia" "mg/kg"
"26" 0.00112194721832273 0.00148345772421511 0.00299513669947226 0.00942605186458598 "Sediment" "Finland" "mg/kg"
"27" 0.0259439860378806 0.0475600739775843 0.0441418530913965 0.0535365405854093 "STSoil" "Finland" "mg/kg"
"29" 0.376425885992704 0.497190676900619 0.923986585036834 2.76910983135249 "Sediment" "France" "mg/kg"
"30" 0.100361763097935 0.18350298916868 0.174059549149468 0.218177863513293 "STSoil" "France" "mg/kg"
"32" 0.203484543393554 0.267575295700305 0.693046648319121 2.41672634169692 "Sediment" "Germany" "mg/kg"
"33" 0.0945891674361706 0.179593832284764 0.177736577919346 0.254755877764924 "STSoil" "Germany" "mg/kg"
"35" 0.0255506130839668 0.0335087449601796 0.0867009043542692 0.305477448835724 "Sediment" "Greece" "mg/kg"
"36" 0.0948851188806609 0.179772995901202 0.176413034159147 0.248238917275164 "STSoil" "Greece" "mg/kg"
"38" 0.160751669219705 0.213177482321228 0.393205092346952 1.17104134847989 "Sediment" "Hungary" "mg/kg"
"39" 0.0865599208061349 0.161267333102434 0.151892721512218 0.194321637547961 "STSoil" "Hungary" "mg/kg"
"41" 0.048260647148431 0.0643404753192266 0.0881575905243832 0.200251813731128 "Sediment" "Ireland" "mg/kg"
"42" 0.0503679552850945 0.0944403266136772 0.0884486552767676 0.112860509346741 "STSoil" "Ireland" "mg/kg"
"44" 0.861312751882578 1.14532150701726 1.2940560294228 2.0382222228271 "Sediment" "Italy" "mg/kg"
"45" 0.0656237315357279 0.129569427489755 0.124297684442959 0.180564633984942 "STSoil" "Italy" "mg/kg"
"47" 0.16303208124576 0.221133914669515 0.395369410265272 1.16466943939318 "Sediment" "Japan" "mg/kg"
"48" 0.0580899758407959 0.111643038856281 0.114611479435303 0.174115680207322 "STSoil" "Japan" "mg/kg"
"50" 0.00557505737553925 0.00744868542761012 0.0134447696206131 0.0398138227073786 "Sediment" "Latvia" "mg/kg"
"51" 0.0334468721423906 0.0613199991488748 0.0570936192040999 0.0699354920988789 "STSoil" "Latvia" "mg/kg"
"53" 0.0129411488647468 0.0167352308145766 0.0259102324704411 0.0663208857272647 "Sediment" "Lithuania" "mg/kg"
"54" 0.0310995477525124 0.0571966996477376 0.0534757448819278 0.0661735896556001 "STSoil" "Lithuania" "mg/kg"
"56" 0.0784842017595098 0.105187083250582 0.283866469734039 1.01337730528921 "Sediment" "Luxembourg" "mg/kg"
"57" 0.129004646072338 0.237882878782089 0.222007777975421 0.272290073220484 "STSoil" "Luxembourg" "mg/kg"
"59" 0.760671028383079 1.05520104212578 3.30620302652645 12.5532348067821 "Sediment" "Malta" "mg/kg"
"60" Inf Inf Inf Inf "STSoil" "Malta" "mg/kg"
"62" 0.817810164669428 1.10806220651481 1.27254515556477 2.08784356629109 "Sediment" "Mexico" "mg/kg"
"63" 0.972855629217196 1.88913138700992 1.95342899816972 3.06901302213574 "STSoil" "Mexico" "mg/kg"
"65" 0.0471370332628183 0.0647904779443069 0.198124247947064 0.741466054004772 "Sediment" "Netherlands" "mg/kg"
"66" 0.0632944107588725 0.119954624644362 0.131887408804035 0.217264466647119 "STSoil" "Netherlands" "mg/kg"
"68" 0.00246814789463769 0.00318016739784998 0.00588872744554613 0.0174590885498953 "Sediment" "Norway" "mg/kg"
"69" 0.0334753852352326 0.0611800934663845 0.0574148768659387 0.0705603863461126 "STSoil" "Norway" "mg/kg"
"71" 0.114731209695667 0.153686004849082 0.252202997437734 0.688966430930957 "Sediment" "Poland" "mg/kg"
"72" 0.060962463655785 0.115728303372402 0.110688313073697 0.150366689337977 "STSoil" "Poland" "mg/kg"
"74" 0.377684129648386 0.494199424790818 1.05870518240551 3.43028206695448 "Sediment" "Portugal" "mg/kg"
"75" 0.223909963829115 0.415373354151506 0.391131536989737 0.494048246823203 "STSoil" "Portugal" "mg/kg"
"77" 0.0833635421352533 0.112104174129739 0.140564119085246 0.277147676217272 "Sediment" "Romania" "mg/kg"
"78" 0.0395781597690834 0.0733820787444749 0.0812157137517936 0.129791210075557 "STSoil" "Romania" "mg/kg"
"80" 0.188784141879774 0.253896216022523 0.374825411816069 0.930366681671197 "Sediment" "Slovakia" "mg/kg"
"81" 0.100587973043655 0.188717871544507 0.181876027270488 0.245433625903491 "STSoil" "Slovakia" "mg/kg"
"83" 0.658843566081296 0.842833174758259 1.1777616572441 2.65889108963378 "Sediment" "Slovenia" "mg/kg"
"84" 0.0491595140720838 0.093537749351295 0.102405066162268 0.168462618963709 "STSoil" "Slovenia" "mg/kg"
"86" 0.305467789027105 0.39277035368697 0.808768912851738 2.55542259669337 "Sediment" "Spain" "mg/kg"
"87" 0.136379753365682 0.248450250040241 0.235375719437722 0.290768568868853 "STSoil" "Spain" "mg/kg"
"89" 0.00208196675955353 0.00274492660994975 0.00581755075273751 0.0188423904639177 "Sediment" "Sweden" "mg/kg"
"90" 0.045096259934353 0.0827942496424802 0.0768215740434914 0.0929622037690045 "STSoil" "Sweden" "mg/kg"
"92" 0.0242158379455717 0.032305955600259 0.0951964511081114 0.352244305875838 "Sediment" "Switzerland" "mg/kg"
"93" Inf Inf Inf Inf "STSoil" "Switzerland" "mg/kg"
"95" 0.152127101568739 0.213557148907995 0.716783422333608 2.7699725449014 "Sediment" "United Kingdom" "mg/kg"
"96" 0.0928092109439515 0.168621335793536 0.15891080209499 0.195794061714786 "STSoil" "United Kingdom" "mg/kg"
"98" 0.0128636771184566 0.017545847583347 0.0293426680870917 0.0820169722572578 "Sediment" "USA" "mg/kg"
"99" 0.0581783369976286 0.109834327114064 0.10488519737634 0.141886831791097 "STSoil" "USA" "mg/kg"
"101" 1.06717320764684 1.47013346628464 1.51735142987894 2.05591081189955 "Sediment" "Vietnam" "mg/kg"
"102" 1.56012559613016 2.99316933719959 3.56053673739187 6.20117863674395 "STSoil" "Vietnam" "mg/kg"
